keys,en,de,fr,es,it,pt_BR,pl,ru,tr,ja,zh_CN,ko
Level 1 - The Path of the Sphinx,Level 1 - The Path of the Sphinx,Level 1 - Der Weg zur Sphinx,Niveau 1 - Le Sentier du Sphinx,Nivel 1 - El Sendero de la Esfinge,Livello 1 - Il Sentiero della Sfinge,Nível 1 - A Trilha da Esfinge,Poziom 1 - Ścieżka Sfinksa,Уровень 1 - Тропа Сфинкса,Bölüm 1 - Sfenksin Yolu,レベル1 - スフィンクスの道,第 1 关 - 狮身人面像之路,레벨 1 - 스핑크스의 길
Level 2 - The Pendulum's Journey,Level 2 - The Pendulum's Journey,Level 2 - Das Pendel des Todes,Niveau 2 - Le Voyage du Pendule,Nivel 2 - El Viaje del Péndulo,Livello 2 - Il Viaggio del Pendolo,Nível 2 - A Jornada do Pêndulo,Poziom 2 - Podróż Wahadła,Уровень 2 - Путь Маятника,Bölüm 2 - Sarkacın Yolculuğu,レベル2 - 振り子の旅,第 2 关 - 钟摆之旅,레벨 2 - 진자의 여정
Level 3 - Up the Stairs,Level 3 - Up the Stairs,Level 3 - Die Treppe,Niveau 3 - En Haut de l'Escalier,Nivel 3 - Escaleras Arriba,Livello 3 - Su per le Scale,Nível 3 - Escada Acima,Poziom 3 - W Górę Schodów,Уровень 3 - Вверх по лестнице,Bölüm 3 - Merdivenlerden Yukarı,レベル3 - 階段を上へ,第 3 关 - 拾级而上,레벨 3 - 계단 위로
Level 4 - The Burial Chamber,Level 4 - The Burial Chamber,Level 4 - Die Grabkammer,Niveau 4 - La Chambre Funéraire,Nivel 4 - La Cámara Funeraria,Livello 4 - La Camera Sepolcrale,Nível 4 - A Câmara Mortuária,Poziom 4 - Komora Grobowa,Уровень 4 - Погребальная камера,Bölüm 4 - Mezar Odası,レベル4 - 埋葬の間,第 4 关 - 墓室,레벨 4 - 묘실
Level 5 - The Slide,Level 5 - The Slide,Level 5 - Abwärts,Niveau 5 - Le Toboggan,Nivel 5 - El Tobogán,Livello 5 - Lo Scivolo,Nível 5 - O Escorregador,Poziom 5 - Zjeżdżalnia,Уровень 5 - Спуск,Bölüm 5 - Kaydırak,レベル5 - 滑り台,第 5 关 - 滑道,레벨 5 - 미끄럼틀
Level 6 - Crocodiles,Level 6 - Crocodiles,Level 6 - Krokodile,Niveau 6 - Les Crocodiles,Nivel 6 - Cocodrilos,Livello 6 - Coccodrilli,Nível 6 - Crocodilos,Poziom 6 - Krokodyle,Уровень 6 - Крокодилы,Bölüm 6 - Timsahlar,レベル6 - ワニ,第 6 关 - 鳄鱼,레벨 6 - 악어
Level 7 - The Journey Home,Level 7 - The Journey Home,Level 7 - Die Heimreise,Niveau 7 - Le Voyage du Retour,Nivel 7 - El Viaje a Casa,Livello 7 - Il Ritorno a Casa,Nível 7 - A Viagem de Volta,Poziom 7 - Podróż do Domu,Уровень 7 - Путь домой,Bölüm 7 - Eve Dönüş,レベル7 - 帰路,第 7 关 - 归途,레벨 7 - 귀향
Options,Options,Optionen,Options,Opciones,Opzioni,Opções,Opcje,Настройки,Seçenekler,オプション,选项,옵션
Quit,Quit,Beenden,Quitter,Salir,Esci,Sair,Wyjdź,Выход,Çıkış,終了,退出,종료
Paused,Paused,Pausiert,Pause,Pausa,In pausa,Pausado,Pauza,Пауза,Duraklatıldı,一時停止,已暂停,일시 정지
Resume,Resume,Fortsetzen,Reprendre,Continuar,Riprendi,Continuar,Wznów,Продолжить,Devam Et,再開,继续,계속하기
Reset Level,Reset Level,Level neu starten,Recommencer le niveau,Reiniciar nivel,Riavvia livello,Reiniciar nível,Zresetuj poziom,Уровень заново,Bölümü Sıfırla,レベルをやり直す,重置关卡,레벨 다시 시작
Main Menu,Main Menu,Hauptmenü,Menu principal,Menú principal,Menu principale,Menu principal,Menu główne,Главное меню,Ana Menü,メインメニュー,主菜单,메인 메뉴
Quit Game,Quit Game,Spiel beenden,Quitter le jeu,Salir del juego,Esci dal gioco,Sair do jogo,Zakończ grę,Выйти из игры,Oyundan Çık,ゲームを終了,退出游戏,게임 종료
